,studytime,failures,Medu,higher,absences,age,health,Walc,goout,Fedu
633,2,0,4,1,1,18,2,4,3,4
634,2,0,3,1,1,18,1,2,3,3
635,2,0,3,1,10,17,1,3,4,1
636,2,0,4,1,4,18,2,4,4,4
637,1,0,2,1,0,18,5,3,3,1
638,2,0,2,1,4,17,3,1,3,3
639,1,1,1,1,0,19,5,3,2,1
640,1,1,4,1,0,18,3,3,3,2
641,3,0,2,1,0,18,4,3,3,2
642,2,0,4,1,0,17,1,1,4,3
643,1,0,4,1,4,18,5,2,3,4
644,3,1,2,1,4,19,5,2,2,3
645,2,0,3,1,4,18,1,1,4,1
646,2,0,1,1,6,18,5,1,1,1
647,1,0,3,1,6,17,2,4,5,1
648,1,0,3,1,4,18,5,4,1,2
